'NGCP::Panel::Controller::API::MaliciousCalls','0.017308'
'NGCP::Panel::Controller::API::MetaConfigDefs','0.014185'
'NGCP::Panel::Controller::API::NcosLevelsItem','0.016176'
'NGCP::Panel::Controller::API::PbxDevicesItem','0.024535'
'NGCP::Panel::Controller::API::PeeringServers','0.038618'
'NGCP::Panel::Controller::API::SoundFilesItem','0.02378'
'NGCP::Panel::Controller::API::SpeedDialsItem','0.015804'
'NGCP::Panel::Controller::API::SystemContacts','0.028454'
'NGCP::Panel::Controller::API::TrustedSources','0.028231'
'NGCP::Panel::Controller::API::UpnRewriteSets','0.027877'
'NGCP::Panel::Controller::API::VoicemailsItem','0.015827'
'NGCP::Panel::Controller::CallListSuppression','0.069412'
'NGCP::Panel::Controller::API::BannedUsersItem','0.004396'
'NGCP::Panel::Controller::API::BillingFeesItem','0.036807'
'NGCP::Panel::Controller::API::BillingNetworks','0.053442'
'NGCP::Panel::Controller::API::BillingProfiles','0.048841'
'NGCP::Panel::Controller::API::LnpCarriersItem','0.017169'
'NGCP::Panel::Controller::API::NcosLnpCarriers','0.026503'
'NGCP::Panel::Controller::API::PbxDeviceModels','0.028079'
'NGCP::Panel::Controller::API::ProfilePackages','0.032082'
'NGCP::Panel::Controller::API::RewriteRuleSets','0.026863'
'NGCP::Panel::Controller::API::RtcNetworksItem','0.021838'
'NGCP::Panel::Controller::API::RtcSessionsItem','0.015024'
'NGCP::Panel::Controller::API::SoundGroupsItem','0.004171'
'NGCP::Panel::Controller::API::SubscribersItem','0.019134'
'NGCP::Panel::Controller::API::BalanceIntervals','0.018016'
'NGCP::Panel::Controller::API::BillingZonesItem','0.014648'
'NGCP::Panel::Controller::API::CCMapEntriesItem','0.023733'
'NGCP::Panel::Controller::API::CFSourceSetsItem','0.021702'
'NGCP::Panel::Controller::API::CallForwardsItem','0.014428'
'NGCP::Panel::Controller::API::CustomerBalances','0.010958'
'NGCP::Panel::Controller::API::CustomerContacts','0.021546'
'NGCP::Panel::Controller::API::InvoiceTemplates','0.015162'
'NGCP::Panel::Controller::API::ManagerSecretary','0.036036'
'NGCP::Panel::Controller::API::NcosPatternsItem','0.017025'
'NGCP::Panel::Controller::API::PbxDeviceConfigs','0.029204'
'NGCP::Panel::Controller::API::PeeringRulesItem','0.018459'
'NGCP::Panel::Controller::API::RewriteRulesItem','0.023279'
'NGCP::Panel::Controller::API::SoundHandlesItem','0.008761'
'NGCP::Panel::Controller::API::CFDestinationSets','0.0362749999999999'
'NGCP::Panel::Controller::API::CustomerLocations','0.038258'
'NGCP::Panel::Controller::API::CustomerZoneCosts','0.020957'
'NGCP::Panel::Controller::API::DomainPreferences','0.066447'
'NGCP::Panel::Controller::API::EmergencyMappings','0.024616'
'NGCP::Panel::Controller::API::FaxRecordingsItem','0.01555'
'NGCP::Panel::Controller::API::FaxserverSettings','0.035453'
'NGCP::Panel::Controller::API::InterceptionsItem','0.013758'
'NGCP::Panel::Controller::API::MailToFaxSettings','0.030696'
'NGCP::Panel::Controller::API::PartyCallControls','0.040895'
'NGCP::Panel::Controller::API::PbxDeviceProfiles','0.021173'
'NGCP::Panel::Controller::API::PeeringGroupsItem','0.015071'
'NGCP::Panel::Controller::API::VoicemailSettings','0.02046'
'NGCP::Panel::Controller::API::AutoAttendantsItem','0.016915'
'NGCP::Panel::Controller::API::CallRecordingFiles','0.010948'
'NGCP::Panel::Controller::API::CallRecordingsItem','0.01896'
'NGCP::Panel::Controller::API::EmailTemplatesItem','0.014603'
'NGCP::Panel::Controller::API::MaliciousCallsItem','0.010869'
'NGCP::Panel::Controller::API::PbxDeviceFirmwares','0.024266'
'NGCP::Panel::Controller::API::PeeringServersItem','0.037641'
'NGCP::Panel::Controller::API::ProfilePreferences','0.013826'
'NGCP::Panel::Controller::API::SubscriberProfiles','0.024477'
'NGCP::Panel::Controller::API::SystemContactsItem','0.026518'
'NGCP::Panel::Controller::API::TrustedSourcesItem','0.017877'
'NGCP::Panel::Controller::API::UpnRewriteSetsItem','0.015536'
'NGCP::Panel::Controller::API::VoicemailGreetings','0.011999'
'NGCP::Panel::Controller::API::BillingNetworksItem','0.01091'
'NGCP::Panel::Controller::API::BillingProfilesItem','0.009346'
'NGCP::Panel::Controller::API::CustomerFraudEvents','0.010999'
'NGCP::Panel::Controller::API::CustomerPreferences','0.009359'
'NGCP::Panel::Controller::API::NcosLnpCarriersItem','0.009146'
'NGCP::Panel::Controller::API::PbxDeviceModelsItem','0.010845'
'NGCP::Panel::Controller::API::PeeringInboundRules','0.017262'
'NGCP::Panel::Controller::API::ProfilePackagesItem','0.011774'
'NGCP::Panel::Controller::API::RewriteRuleSetsItem','0.016285'
'NGCP::Panel::Controller::API::SoundFileRecordings','0.007271'
'NGCP::Panel::Controller::API::VoicemailRecordings','0.009509'
'NGCP::Panel::Controller::API::BalanceIntervalsItem','0.008968'
'NGCP::Panel::Controller::API::CallRecordingStreams','0.010492'
'NGCP::Panel::Controller::API::CustomerBalancesItem','0.009435'
'NGCP::Panel::Controller::API::CustomerContactsItem','0.018945'
'NGCP::Panel::Controller::API::DomainPreferenceDefs','0.007575'
'NGCP::Panel::Controller::API::InvoiceTemplatesItem','0.007897'
'NGCP::Panel::Controller::API::ManagerSecretaryItem','0.016964'
'NGCP::Panel::Controller::API::PbxDeviceConfigFiles','0.007526'
'NGCP::Panel::Controller::API::PbxDeviceConfigsItem','0.008885'
'NGCP::Panel::Controller::API::PbxDeviceModelImages','0.008469'
'NGCP::Panel::Controller::API::PbxDevicePreferences','0.009035'
'NGCP::Panel::Controller::API::CFDestinationSetsItem','0.0169'
'NGCP::Panel::Controller::API::CustomerLocationsItem','0.016759'
'NGCP::Panel::Controller::API::CustomerZoneCostsItem','0.007866'
'NGCP::Panel::Controller::API::DomainPreferencesItem','0.011584'
'NGCP::Panel::Controller::API::EmergencyMappingsItem','0.009368'
'NGCP::Panel::Controller::API::FaxserverSettingsItem','0.014133'
'NGCP::Panel::Controller::API::MailToFaxSettingsItem','0.013676'
'NGCP::Panel::Controller::API::PbxDeviceProfilesItem','0.011434'
'NGCP::Panel::Controller::API::ProfilePreferenceDefs','0.007467'
'NGCP::Panel::Controller::API::SubscriberPreferences','0.011782'
'NGCP::Panel::Controller::API::SubscriberProfileSets','0.015755'
'NGCP::Panel::Controller::API::VoicemailSettingsItem','0.012754'
'NGCP::Panel::Controller::API::CallRecordingFilesItem','0.012646'
'NGCP::Panel::Controller::API::CustomerPreferenceDefs','0.00767600000000002'
'NGCP::Panel::Controller::API::PbxDeviceFirmwaresItem','0.00933'
'NGCP::Panel::Controller::API::ProfilePreferencesItem','0.010821'
'NGCP::Panel::Controller::API::SubscriberProfilesItem','0.010366'
'NGCP::Panel::Controller::API::VoicemailGreetingsItem','0.002943'
'NGCP::Panel::Controller::API::CustomerFraudEventsItem','0.008901'
'NGCP::Panel::Controller::API::CustomerPreferencesItem','0.01113'
'NGCP::Panel::Controller::API::PbxDevicePreferenceDefs','0.007548'
'NGCP::Panel::Controller::API::PeeringInboundRulesItem','0.010952'
'NGCP::Panel::Controller::API::SoundFileRecordingsItem','0.009268'
'NGCP::Panel::Controller::API::SubscriberRegistrations','0.011923'
'NGCP::Panel::Controller::API::VoicemailRecordingsItem','0.007734'
'NGCP::Panel::Controller::API::CallRecordingStreamsItem','0.016492'
'NGCP::Panel::Controller::API::CustomerFraudPreferences','0.016171'
'NGCP::Panel::Controller::API::PbxDeviceConfigFilesItem','0.008748'
'NGCP::Panel::Controller::API::PbxDeviceModelImagesItem','0.009494'
'NGCP::Panel::Controller::API::PbxDevicePreferencesItem','0.009674'
'NGCP::Panel::Controller::API::PeeringServerPreferences','0.009176'
'NGCP::Panel::Controller::API::SubscriberPreferenceDefs','0.009685'
'NGCP::Panel::Controller::API::PbxDeviceFirmwareBinaries','0.007216'
'NGCP::Panel::Controller::API::SubscriberPreferencesItem','0.009899'
'NGCP::Panel::Controller::API::SubscriberProfileSetsItem','0.01774'
'NGCP::Panel::Controller::API::EmergencyMappingContainers','0.024808'
'NGCP::Panel::Controller::API::PbxDeviceProfilePreferences','0.009111'
'NGCP::Panel::Controller::API::PeeringServerPreferenceDefs','0.007794'
'NGCP::Panel::Controller::API::SubscriberRegistrationsItem','0.012145'
'NGCP::Panel::Controller::API::CustomerFraudPreferencesItem','0.011314'
'NGCP::Panel::Controller::API::PeeringServerPreferencesItem','0.009805'
'NGCP::Panel::Controller::API::PbxDeviceFirmwareBinariesItem','0.008663'
'NGCP::Panel::Controller::API::EmergencyMappingContainersItem','0.00928'
'NGCP::Panel::Controller::API::PbxDeviceProfilePreferenceDefs','0.009104'
'NGCP::Panel::Controller::API::PbxDeviceProfilePreferencesItem','0.009573'
